datetime,true,predicted,residual,abs_error
2024-06-14 03:45:00+00:00,29216.7,34447.82537433421,-5231.125374334206,5231.125374334206
2024-06-14 04:00:00+00:00,30803.92,36200.94169738466,-5397.021697384662,5397.021697384662
2024-06-14 04:15:00+00:00,32012.984,36943.489522666314,-4930.5055226663135,4930.5055226663135
2024-06-14 04:30:00+00:00,33389.857,38049.05714898282,-4659.200148982818,4659.200148982818
2024-06-14 04:45:00+00:00,34314.805,39462.32300418994,-5147.518004189937,5147.518004189937
2024-06-14 05:00:00+00:00,36036.516,41650.12970456984,-5613.613704569834,5613.613704569834
2024-06-14 05:15:00+00:00,37157.27,42064.95762034588,-4907.687620345881,4907.687620345881
2024-06-14 05:30:00+00:00,35674.653,42201.90104874364,-6527.2480487436405,6527.2480487436405
2024-06-14 05:45:00+00:00,36448.583,42512.04223337216,-6063.459233372159,6063.459233372159
2024-06-14 06:00:00+00:00,37909.869,40881.18153505566,-2971.3125350556584,2971.3125350556584
2024-06-14 06:15:00+00:00,38601.358,40995.28287760871,-2393.9248776087115,2393.9248776087115
2024-06-14 06:30:00+00:00,41680.275,41183.11595134032,497.1590486596833,497.1590486596833
2024-06-14 06:45:00+00:00,42339.462,41181.94028431184,1157.5217156881627,1157.5217156881627
2024-06-14 07:00:00+00:00,43217.269,40901.39215121809,2315.8768487819107,2315.8768487819107
2024-06-14 07:15:00+00:00,43422.017,42196.68976944489,1225.3272305551072,1225.3272305551072
2024-06-14 07:30:00+00:00,43976.068,42196.68976944489,1779.3782305551067,1779.3782305551067
2024-06-14 07:45:00+00:00,44276.344,42774.135188193,1502.208811806995,1502.208811806995
2024-06-14 08:00:00+00:00,44340.367,43297.213909542785,1043.1530904572137,1043.1530904572137
2024-06-14 08:15:00+00:00,44126.745,42724.824977208,1401.920022792001,1401.920022792001
2024-06-14 08:30:00+00:00,43878.453,42067.01827327409,1811.4347267259145,1811.4347267259145
2024-06-14 08:45:00+00:00,43256.853,41984.08512715516,1272.7678728448445,1272.7678728448445
2024-06-14 09:00:00+00:00,42550.27,41489.52990880835,1060.7400911916484,1060.7400911916484
2024-06-14 09:15:00+00:00,42765.081,41880.82410243429,884.256897565705,884.256897565705
2024-06-14 09:30:00+00:00,43217.321,42309.7068140497,907.6141859503041,907.6141859503041
2024-06-14 09:45:00+00:00,43164.761,42625.912274438655,538.8487255613436,538.8487255613436
2024-06-14 10:00:00+00:00,43779.638,42256.27836492998,1523.3596350700172,1523.3596350700172
2024-06-14 10:15:00+00:00,45154.106,42367.77120921097,2786.3347907890275,2786.3347907890275
2024-06-14 10:30:00+00:00,44817.456,41763.34069035682,3054.115309643181,3054.115309643181
2024-06-14 10:45:00+00:00,44023.711,41357.09054403021,2666.6204559697944,2666.6204559697944
2024-06-14 11:00:00+00:00,43625.915,41125.1404227797,2500.774577220298,2500.774577220298
2024-06-14 11:15:00+00:00,43341.477,41106.588369994184,2234.888630005815,2234.888630005815
2024-06-14 11:30:00+00:00,43287.115,41511.24815930752,1775.8668406924771,1775.8668406924771
2024-06-14 11:45:00+00:00,43037.508,41118.47945606737,1919.0285439326326,1919.0285439326326
2024-06-14 12:00:00+00:00,43157.619,40573.76731147425,2583.8516885257486,2583.8516885257486
2024-06-14 12:15:00+00:00,43086.224,40342.1154663339,2744.1085336661054,2744.1085336661054
2024-06-14 12:30:00+00:00,42989.205,40186.07699319772,2803.1280068022825,2803.1280068022825
2024-06-14 12:45:00+00:00,42509.123,40404.49788343863,2104.625116561372,2104.625116561372
2024-06-14 13:00:00+00:00,42247.278,40346.00865206972,1901.2693479302761,1901.2693479302761
2024-06-14 13:15:00+00:00,42333.313,40136.3642308345,2196.9487691655013,2196.9487691655013
2024-06-14 13:30:00+00:00,42410.557,40124.61361322954,2285.9433867704574,2285.9433867704574
2024-06-14 13:45:00+00:00,40980.725,40103.41017217085,877.3148278291483,877.3148278291483
2024-06-14 14:00:00+00:00,40117.414,40046.69453947197,70.71946052802377,70.71946052802377
2024-06-14 14:15:00+00:00,40112.197,40017.64613711149,94.55086288850725,94.55086288850725
2024-06-14 14:30:00+00:00,40781.006,40049.383706665176,731.6222933348254,731.6222933348254
2024-06-14 14:45:00+00:00,40403.928,39639.963044332246,763.9649556677541,763.9649556677541
2024-06-14 15:00:00+00:00,40029.683,39659.75465037931,369.92834962068446,369.92834962068446
