datetime,predicted_consumption,day,hour,weekday,confidence_interval,lower_bound,upper_bound
2025-10-05 07:45:00+00:00,36685.817735866316,2025-10-05,7,Sunday,2581.762295258545,34104.05544060777,39267.58003112486
2025-10-05 08:00:00+00:00,35403.49835588903,2025-10-05,8,Sunday,2582.5514139281586,32820.94694196087,37986.04976981719
2025-10-05 08:15:00+00:00,35573.992821468644,2025-10-05,8,Sunday,2583.339774193912,32990.65304727473,38157.332595662556
2025-10-05 08:30:00+00:00,35573.992821468644,2025-10-05,8,Sunday,2584.1273782382646,32989.86544323038,38158.12019970691
2025-10-05 08:45:00+00:00,35573.992821468644,2025-10-05,8,Sunday,2584.914228233229,32989.07859323541,38158.90704970188
2025-10-05 09:00:00+00:00,35947.795373705914,2025-10-05,9,Sunday,2585.70032634044,33362.095047365474,38533.495700046355
2025-10-05 09:15:00+00:00,35995.2965936193,2025-10-05,9,Sunday,2586.485674711224,33408.81091890808,38581.78226833052
2025-10-05 09:30:00+00:00,36420.09841007972,2025-10-05,9,Sunday,2587.270275486668,33832.82813459305,39007.36868556639
2025-10-05 09:45:00+00:00,37115.175820294295,2025-10-05,9,Sunday,2588.0541307976873,34527.121689496606,39703.229951091984
2025-10-05 10:00:00+00:00,35854.81111084544,2025-10-05,10,Sunday,2588.8372427650934,33265.97386808035,38443.64835361053
2025-10-05 10:15:00+00:00,35733.55576531471,2025-10-05,10,Sunday,2589.619613499661,33143.93615181505,38323.175378814376
2025-10-05 10:30:00+00:00,35733.55576531471,2025-10-05,10,Sunday,2590.4012451021945,33143.15452021252,38323.9570104169
2025-10-05 10:45:00+00:00,35408.34669972727,2025-10-05,10,Sunday,2591.1821396635924,32817.16456006368,37999.52883939086
2025-10-05 11:00:00+00:00,35167.062307909495,2025-10-05,11,Sunday,2591.9622992649147,32575.10000864458,37759.02460717441
2025-10-05 11:15:00+00:00,34908.04202960834,2025-10-05,11,Sunday,2592.7417259774456,32315.300303630895,37500.783755585784
2025-10-05 11:30:00+00:00,34908.04202960834,2025-10-05,11,Sunday,2593.52042186276,32314.52160774558,37501.5624514711
2025-10-05 11:45:00+00:00,34908.04202960834,2025-10-05,11,Sunday,2594.298388972785,32313.743640635555,37502.34041858112
2025-10-05 12:00:00+00:00,34807.43376498157,2025-10-05,12,Sunday,2595.0756293498625,32212.358135631708,37402.509394331435
2025-10-05 12:15:00+00:00,34807.43376498157,2025-10-05,12,Sunday,2595.8521450268163,32211.581619954755,37403.28591000839
2025-10-05 12:30:00+00:00,34807.43376498157,2025-10-05,12,Sunday,2596.627938027006,32210.805826954565,37404.06170300858
2025-10-05 12:45:00+00:00,34807.43376498157,2025-10-05,12,Sunday,2597.4030103643977,32210.030754617175,37404.83677534597
2025-10-05 13:00:00+00:00,34591.93428958781,2025-10-05,13,Sunday,2598.177364043619,31993.75692554419,37190.11165363143
2025-10-05 13:15:00+00:00,34591.93428958781,2025-10-05,13,Sunday,2598.9510010600197,31992.983288527786,37190.88529064783
2025-10-05 13:30:00+00:00,34591.93428958781,2025-10-05,13,Sunday,2599.723923399735,31992.210366188072,37191.658212987546
2025-10-05 13:45:00+00:00,34591.93428958781,2025-10-05,13,Sunday,2600.496133039743,31991.438156548065,37192.43042262755
